repository,workflow_files,workflow_files_count,actions,actions_count
013/Soundcloud-Downloader,"[""pythonapp.yml""]",1,"[[""actions/checkout"", ""actions/setup-python""]]",[2]
0install/0install,"[""mac.yml""]",1,"[[""actions/checkout"", ""avsm/setup-ocaml"", ""actions/upload-artifact""]]",[3]
0install/java-model,"[""doc.yml""]",1,"[[""actions/checkout"", ""actions/upload-artifact"", ""peaceiris/actions-gh-pages""]]",[3]
0xd4d/dnlib,"[""build.yml""]",1,"[[""actions/checkout"", ""actions/upload-artifact"", ""actions/checkout""]]",[3]
29th/personnel-api,"[""deploy.yml""]",1,"[[""actions/checkout"", ""appleboy/ssh-action""]]",[2]
2general/django-split-settings,"[""misspell.yml""]",1,"[[""actions/checkout"", ""sobolevn/misspell-fixer-action"", ""peter-evans/create-pull-request""]]",[3]
a2lix/TranslationFormBundle,"[""ci.yml""]",1,"[[""actions/checkout"", ""actions/cache"", ""actions/checkout"", ""actions/cache"", ""actions/checkout"", ""actions/cache"", ""codecov/codecov-action""]]",[7]
aaemnnosttv/last-modified-timestamp,"[""release.yml"", ""update-assets.yml""]",2,"[[""actions/checkout"", ""10up/action-wordpress-plugin-deploy""], [""actions/checkout"", ""10up/action-wordpress-plugin-asset-update""]]","[2, 2]"
aaemnnosttv/Post-Link-Shortcodes,"[""release.yml"", ""update-assets.yml""]",2,"[[""actions/checkout"", ""10up/action-wordpress-plugin-deploy""], [""actions/checkout"", ""10up/action-wordpress-plugin-asset-update""]]","[2, 2]"
aalmiray/ezmorph,"[""gradle.yml""]",1,"[[""actions/checkout"", ""actions/setup-java"", ""actions/cache"", ""actions/cache"", ""eskatos/gradle-command-action""]]",[5]
aalmiray/gipsy,"[""gradle.yml""]",1,"[[""actions/checkout"", ""actions/setup-java"", ""actions/cache"", ""actions/cache"", ""eskatos/gradle-command-action""]]",[5]
aalmiray/Json-lib,"[""gradle.yml""]",1,"[[""actions/checkout"", ""actions/setup-java"", ""actions/cache"", ""actions/cache"", ""eskatos/gradle-command-action""]]",[5]
aardappel/treesheets,"[""build.yml""]",1,"[[""actions/checkout"", ""actions/upload-artifact"", ""actions/checkout"", ""microsoft/setup-msbuild"", ""actions/upload-artifact"", ""joncloud/makensis-action"", ""actions/upload-artifact"", ""actions/checkout"", ""actions/upload-artifact""]]",[9]
