repository,workflow_files,workflow_files_count
QuantumBadger/RedReader,"[""build.yml""]",1
fzaninotto/Faker,"[""continuous-integration.yml""]",1
bagder/curl,"[""codeql-analysis.yml"", ""fuzz.yml"", ""macos.yml""]",3
mitchellh/vagrant,"[""build.yml"", ""code.yml"", ""release.yml"", ""spectesting.yml"", ""testing.yml""]",5
maraujop/django-crispy-forms,"[""black.yml"", ""ci-testing-django-master.yml"", ""ci-testing.yml"", ""flake8.yml"", ""isort.yml""]",5
antirez/redis,"[""ci.yml"", ""daily.yml""]",2
sebastianbergmann/phpunit,"[""ci.yml""]",1
safiire/n65,"[""ci.yml""]",1
coin-or/pulp-or,"[""publish-to-test-pypi.yml"", ""pythonpackage.yml""]",2
square/moshi,"[""build.yml""]",1
hobarrera/todoman,"[""checks.yml"", ""publish.yml"", ""tests.yml""]",3
norkunas/youtube-dl-php,"[""ci.yml""]",1
hmage/seeborg,"[""codeql-analysis.yml""]",1
AlexisTM/Simple-Json-PHP,"[""php.yml""]",1
MKergall/osmbonuspack,"[""Android-CI.yml"", ""gradle-wrapper-validation.yml""]",2
Geosyntec/wqio,"[""black.yml"", ""check-test-coverage.yml"", ""python-publish.yml"", ""python-runlinter.yml"", ""python-runtests-basic.yml"", ""python-runtests-img-comp.yml""]",6
vim/vim,"[""ci-windows.yaml""]",1
JakeWharton/NotRxAndroid,"[""build.yml""]",1
platformio/platformio,"[""core.yml"", ""docs.yml"", ""examples.yml""]",3
castano/nvidia-texture-tools,"[""build.yml""]",1
deanwilson/puppet-ip_in_range,"[""linter.yml"", ""rubocop-linter.yaml"", ""ruby.yml""]",3
thujohn/twitter,"[""php.yml""]",1
dmlc/xgboost,"[""main.yml""]",1
michelson/chaskiq,"[""dockerimage.yml""]",1
php-mime-mail-parser/php-mime-mail-parser,"[""main.yml""]",1
mangstadt/ez-vcard,"[""codeql-analysis.yml"", ""maven.yml""]",2
sulu-io/sulu,"[""crowdin-upload.yaml"", ""test-application.yaml"", ""trigger-styleguide-build.yaml""]",3
prologic/autodock,"[""build.yml""]",1
sufficiently-secure/ad-away,"[""android-analysis.yml"", ""android-ci.yml""]",2
chef-cookbooks/yum-amazon,"[""branchcleanup.yml"", ""ci.yml"", ""delivery.yml""]",3
revelc/gnome-keyring-java,"[""maven.yaml""]",1
refgenomics/onecodex,"[""pre-commit.yml"", ""test.yml""]",2
KineticCafe/cartage,"[""ruby.yml""]",1
jennings/Turbocharged.Beanstalk,"[""aspnetcore.yml""]",1
dru1/wicketblog,"[""gradle.yml""]",1
flammie/omorfi,"[""main.yml""]",1
srsLTE/srsLTE,"[""ccpp.yml""]",1
hadley/readxl,"[""R-CMD-check.yaml"", ""pkgdown.yaml"", ""pr-commands.yaml"", ""test-coverage.yaml""]",4
xethorn/sukimu,"[""pythonpackage.yml""]",1
spinicist/QUIT,"[""build.yml""]",1
hotsyk/hotsyk,"[""build.yml""]",1
BZFlag-Dev/bzflag-import-8,"[""codeql-analysis.yml"", ""main.yml""]",2
CGAL/cgal-swig-bindings,"[""github.yml"", ""pr.yml""]",2
Rajawali/Rajawali,"[""Android-CI-Espresso.yml"", ""gradle-wrapper-validation.yml""]",2
renstrom/python-jump-consistent-hash,"[""publish.yml"", ""test.yml""]",2
multitheftauto/mtasa-blue,"[""build.yaml""]",1
lovasoa/pff-extract,"[""ccpp.yml"", ""release.yml""]",2
vinkla/algolia,"[""ci.yml""]",1
panorama-ed/order_as_specified,"[""auto-approve-dependabot.yml"", ""remove-needs-qa.yml"", ""tests.yml""]",3
GeniusesOfSymfony/PubSubRouterBundle,"[""run-tests.yml""]",1
woothemes/sensei,"[""build-docs.yml""]",1
chef-cookbooks/yum-elrepo,"[""branchcleanup.yml"", ""ci.yml"", ""delivery.yml""]",3
simulationcraft/simc,"[""main.yml""]",1
T-Alex/Flucene,"[""build.yml"", ""pull-request.yml""]",2
Bernardo-MG/Tabletop-Dice-Java,"[""deploy.yml"", ""deploy_docs.yml"", ""testing.yml""]",3
HiraokaTakuya/apery,"[""make.yml""]",1
spyder-ide/qtawesome,"[""ci.yml""]",1
omegaengine/omegaengine,"[""doc.yml""]",1
TeXworks/texworks,"[""ci.yml""]",1
garglk/garglk,"[""appimage.yml""]",1
GeoJSON-Net/GeoJSON.Net,"[""main.yml""]",1
Bionus/imgbrd-grabber,"[""linux.yml"", ""macos.yml"", ""windows.yml""]",3
PARALLELIO/ParallelIO,"[""a3.yml"", ""a4.yml"", ""autotools.yml"", ""cmake.yml"", ""cmake_ncint.yml"", ""strict_autotools.yml""]",6
husl-colors/husl,"[""build_and_test_using_docker.yml""]",1
sloriot/cgal-bindings,"[""github.yml"", ""pr.yml""]",2
quod-libet/quodlibet,"[""main.yml""]",1
jolie/jolie,"[""maven.yml""]",1
OpenZWave/open-zwave,"[""ConfigCheck.yml""]",1
stumitchell/pulp-or,"[""publish-to-test-pypi.yml"", ""pythonpackage.yml""]",2
naev/naev,"[""naev_ci.yml"", ""naev_nightly.yml"", ""naev_prerelease.yml"", ""naev_release.yml""]",4
wnbittle/dyn4j,"[""build-maven.yml"", ""release-maven.yml""]",2
alexislefebvre/AsyncTweetsBundle,"[""tests.yml""]",1
hadley/exell,"[""R-CMD-check.yaml"", ""pkgdown.yaml"", ""pr-commands.yaml"", ""test-coverage.yaml""]",4
chummer5a/chummer5a,"[""main.yml""]",1
cmpilato/thotkeeper,"[""pythonapp.yml""]",1
T-Alex/DotWeb,"[""build.yml"", ""pull-request.yml""]",2
elapouya/python-docx-template,"[""codestyle.yml""]",1
qaisjp/mtasa-blue,"[""build.yaml""]",1
googlesamples/android-UniversalMusicPlayer,"[""android.yml""]",1
spiral-php/spiral,"[""main.yml""]",1
elastic/elasticsearch-py,"[""backport.yml"", ""ci.yml""]",2
elastic/elasticsearch-ruby,"[""master.yml""]",1
elastic/elasticsearch,"[""gradle-wrapper-validation.yml""]",1
elastic/elasticsearch-net,"[""auto-label.yml"", ""backport.yml""]",2
tricknotes/ember-es6_template,"[""build.yml""]",1
elastic/elasticsearch-rails,"[""2.4.yml"", ""2.5.yml"", ""2.6.yml"", ""2.7.yml"", ""jruby.yml""]",5
elastic/elasticsearch-php,"[""backport.yml"", ""test.yml""]",2
arve0/leicacam,"[""draft-release.yml"", ""release.yml"", ""test.yml""]",3
django-haystack/queued_search,"[""codeql-analysis.yml""]",1
stetro/domradio,"[""android.yml""]",1
Avram/libzotero-java,"[""gradle.yml""]",1
hadley/readr,"[""R-CMD-check.yaml"", ""pkgdown.yaml"", ""pr-commands.yaml""]",3
chef-cookbooks/chef-splunk,"[""branchcleanup.yml"", ""ci.yml""]",2
falconry/falcon,"[""tests-emulated.yaml"", ""tests.yaml""]",2
okfn/goodtables,"[""release.yml""]",1
sam-washington/requests-aws4auth,"[""codeql-analysis.yml"", ""pythonpackage.yml""]",2
omise/omise-java,"[""ci.yml"", ""publish.yml""]",2
mkt-matsumoto-lab/TinyMT,"[""ubuntu.yml""]",1
imsweb/staging-client-java,"[""integration.yml"", ""publish.yml""]",2
linux-can/can-utils,"[""autotools.yml""]",1
martinisoft/chef-rvm,"[""ci.yml"", ""md-links.yml""]",2
PyGithub/PyGithub,"[""ci.yml"", ""pypi-release.yml""]",2
pkgcore/pkgcheck,"[""doc.yml"", ""release.yml"", ""test.yml""]",3
localheinz/github-changelog,"[""integrate.yaml"", ""prune.yaml"", ""release.yaml"", ""renew.yaml"", ""triage.yaml""]",5
