repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
fzaninotto/Faker,PHP,0.997041,44,1,0.087905,29.512196,13.439024,1,56326,0.034134,7867,1,1,1,1
bagder/curl,C,0.90161,8,1,0.239475,69.396225,3.641509,1,139709,0.150401,2665,1,1,1,1
mitchellh/vagrant,Ruby,0.974128,3,1,0.129264,131.596771,89.629028,1,71428,0.353269,11303,1,1,1,1
maraujop/django-crispy-forms,Python,0.527778,2,1,0.150399,14.567568,5.581081,1,5094,0.17121,2268,1,1,1,1
antirez/redis,C,0.856187,2,0,0.166095,112.430557,34.652779,1,119632,0.165989,16713,1,1,1,1
sebastianbergmann/phpunit,PHP,0.957071,2,1,0.363236,45.076923,16.567308,1,22636,0.624396,4994,1,1,1,1
coin-or/pulp-or,Python,0.745098,1,1,0.198649,0.0,0.0,1,11434,0.040087,83,0,0,1,1
Geosyntec/wqio,Python,0.863636,1,1,0.059513,8.27027,0.081081,1,6516,0.401856,3,1,1,1,1
thujohn/twitter,PHP,0.944444,4,1,0.410796,4.45,0.4,1,1466,0.147819,308,1,1,1,1
michelson/chaskiq,Ruby,0.413793,1,0,0.113744,0.0,0.0,1,25912,0.237335,115,0,0,1,1
php-mime-mail-parser/php-mime-mail-parser,PHP,0.857143,1,1,0.183442,11.111111,0.0,0,1573,0.501051,140,0,0,1,1
sulu-io/sulu,PHP,0.958848,4,1,0.229839,326.0,35.0,1,237204,0.139709,104,1,1,1,1
prologic/autodock,Python,0.666667,1,0,0.263761,1.833333,0.0,1,357,0.0,26,0,0,1,1
sufficiently-secure/ad-away,C,0.738928,2,0,0.210422,5.555556,0.166667,1,204313,0.037019,558,1,1,1,1
chef-cookbooks/yum-amazon,Ruby,0.090909,0,1,0.078431,0.0,0.0,1,474,0.261261,3,0,0,1,1
refgenomics/onecodex,Python,0.6,0,1,0.079699,0.0,0.0,1,617,0.180763,1,0,0,1,1
KineticCafe/cartage,Ruby,0.923077,1,1,0.193906,0.0,0.0,1,1164,0.289894,3,0,0,1,1
jennings/Turbocharged.Beanstalk,C#,0.846154,1,0,0.163982,0.0,0.0,1,3531,0.196412,7,0,0,1,1
dru1/wicketblog,Java,0.88,1,0,0.028862,0.0,0.0,1,1818,0.010401,1,0,0,1,1
flammie/omorfi,Python,0.931818,1,0,0.001536,14.0,1.0,1,1354498,0.10369,9,0,1,1,1
srsLTE/srsLTE,C,0.933921,1,0,0.223735,39.0,0.0,1,34458,0.22039,92,1,0,1,1
hadley/readxl,C++,0.703704,1,1,0.18385,0.0,0.0,1,6828,0.0,251,0,0,1,1
xethorn/sukimu,Python,0.684211,1,1,0.242336,0.0,0.0,1,1204,0.12963,3,0,0,1,1
